Questions,Option_1,Option_2,Option_3,Option_4,Answer,Explaination,Subject,Series
"Pravin was given a list of characteristics associated with the process of anaerobic respiration in humans, in the table given below : Location Condition End Product Characteristic (i) Muscle Cell (ii) Requires presence of Oxygen (O2) and Carbon dioxide (CO2) (iii) 3-Carbon molecules Which of the above characteristics is/are related to the above process?",(i) and (ii),(i) and (iii),(ii) and (iii),(i) only [ ],(i) and (ii),The chemical property or reaction shown identifies (i) and (ii).,Science,LKN3M
Walking in a straight line and riding a bicycle are activities which are possible due to coordination of which part of the brain ? 1 (Part of the Brain) (Name of the area of the Brain),Fore-Brain Cerebrum,Mid-Brain Cerebellum,Hind-Brain Cerebellum,Hind-Brain Medulla,Fore-Brain Cerebrum,The scientific principle described in “Walking in a straight line and riding” supports Fore-Brain Cerebrum.,Science,LKN3M
Identify the type of tropic movement that is responsible for the movement of the pollen tube towards an ovule from the following options.,Hydrotropism,Geotropism,Chemotropism,Phototropism [ ],Chemotropism,The scientific principle described in “Identify the type of tropic movement that” supports Chemotropism.,Science,LMNK2
"In the given figure, identify the trophic level having maximum concentration of harmful chemicals.",T1,T5,T4,T3,T4,Energy flow and nutrient cycling make T4 correct.,Science,LMNK2
"Spirogyra, despite being a multi -cellular organism, still shows a simple reproductive method. Select the correct op tion with regard to reproduction in Spirogyra:",Asexual reproduction by division of cells into two cells,Sexual reproduction by division of cells into many cells,Asexual reproduction by breaking up of Spirogyra filaments into smaller parts,Sexual reproduction by the formation of gametes after meiosis of cells of filaments followed by fusion of male and female gametes,Sexual reproduction by division of cells into many cells,The described biological process supports Sexual reproduction by division of cells into many cells.,Science,LMNK2
"The carbohydrates, which are not used immediately in plants, are stored in the form of ‘a’, which serves as an internal energy reserve. What does ‘a’ stand for?",Starch,Sugar,Fat,Protein,Sugar,The described biological process supports Sugar.,Science,LMNK2
The following events occur during the process of photosynthesis. Choose the option that indicates the correct events. 1 (i) Oxidation of carbon dioxide to carbohydrates (ii) Conversion of light energy into chemical energy (iii) Absorption of light energy by chlorophyll (iv) Conversion of hydrogen and oxygen into water Options,(i) and (ii),(ii) and (iii),(iii) and (iv),(i) and (iv) [ ],(i) and (iv) [ ],The applicable optics principle identifies (i) and (iv) [ ].,Science,LMNK2
Which of the following limits the number of trophic levels in a food chain?,Availability of water,Deficient food supply,Decrease in energy at higher levels,Pollution in air,Decrease in energy at higher levels,Energy flow and nutrient cycling make Decrease in energy at higher levels correct.,Science,LMNK2
Identify the traits that cannot be transmitted from parents to the off- springs : 1 (i) Swimming technique (ii) Blood group (iii) Eye colour (iv) Dancing skills Options,(i) and (ii),(i) and (iv),(iii) and (iv),(ii) and (iii),(iii) and (iv),The scientific principle described in “Identify the traits that cannot be transmitted” supports (iii) and (iv).,Science,LN4MK
"In terms of various trophic levels of a food chain, which of the following organisms belong to the same level?",Snake and Grasshopper,Grass and tree,Lizard and elephant,Bacteria and grass,Bacteria and grass,Energy flow and nutrient cycling make Bacteria and grass correct.,Science,LN4MK
Opening of stomata is regulated by:,Entry of water into guard cells,Exit of water from guard cells,Entry of air into the stomatal pore,Entry of water into the stomatal pore,Entry of water into the stomatal pore,The described biological process supports Entry of water into the stomatal pore.,Science,LN4MK
Four chambered heart is a characteristic of:,Fishes,Amphibians,Reptiles,Mammals,Fishes,The scientific principle described in “Four chambered heart is a characteristic of” supports Fishes.,Science,LN4MK
Translocation is the process in which plants deliver:,Minerals from leaves to other parts of the plant.,Plant growth hormones from leaves to other parts of the plant.,Water and inorganic substances from leaves to other parts of the plant.,Organic substances from leaves to the other parts of the plant.,Plant growth hormones from leaves to other parts of the plant.,The described biological process supports Plant growth hormones from leaves to other parts of the plant..,Science,LN4MK
A positron enters a uniform magnetic field at right angles to it as shown. The direction of force experienced by the positron will be : Positron,to the right,to the left,into the page,out of the page,out of the page,The stated electricity or magnetism rule gives out of the page.,Science,Z1XYW/2
"Among the following, the metal with lowest density is",Lithium,Lead,Magnesium,Aluminium,Lithium,The chemical property or reaction shown identifies Lithium.,Science,Z1XYW/2
"During vigorous exercise, the occurrence of cramps in the outer muscles of an athlete is due to the conversion of pyruvate to",Glucose,Ethanol,Lactic acid,Lactose,Lactic acid,The scientific principle described in “During vigorous exercise the occurrence of cramps” supports Lactic acid.,Science,Z1XYW/2
following combination of chromosomes,44 + XX,44 + XY,22 + XX,22 + XY,44 + XX,The scientific principle described in “following combination of chromosomes” supports 44 + XX.,Science,Z1XYW/2
"For vwe show the arrangement of different circuit components. We find that with respect to the resistor, the",ammeter is connected in parallel and the voltmeter in series.,ammeter is connected in series and the voltmeter in parallel.,ammeter and voltmeter are both connected in series.,ammeter and voltmeter are both connected in parallel.,ammeter is connected in series and the voltmeter in parallel.,The stated electricity or magnetism rule gives ammeter is connected in series and the voltmeter in parallel..,Science,Z1XYW/2
"In a resistive circuit if the current is increased to two times, the percentage change in the amount of heat dissipated in the circuit would be",400%,300%,200%,100%,300%,The stated electricity or magnetism rule gives 300%.,Science,Z1XYW/2
"In the following diagram, identify the cells through which massive amounts of gaseous exchange takes place for photosynthesis",I,IV,III,II I II III IV,IV,The chemical property or reaction shown identifies IV.,Science,Z1XYW/2
"In the given experimental set-up, if the experiment is carried out separately with each of the following solutions the cases in which the bulb will glow is/are : (i) Dilute hydrochloric acid (ii) Dilute sulphuric acid (iii) Glucose solution (iv) Alcohol",(i) only,(ii) only,(i) and (ii),(ii),(i) and (ii),The chemical property or reaction shown identifies (i) and (ii).,Science,Z1XYW/2
Plants which bear unisexual flowers are,Mustard and Papaya,Hibiscus and Watermelon,Mustard and Hibiscus,Watermelon and Papaya,Watermelon and Papaya,The described biological process supports Watermelon and Papaya.,Science,Z1XYW/2
Sphincter muscles are present at the exit of,Stomach and small intestine,Stomach and anus,Small intestine and large intestine,Oesophagus and stomach,Stomach and anus,The chemical property or reaction shown identifies Stomach and anus.,Science,Z1XYW/2
The number of electrons in the outermost shell of the atom of a non-metal can be,"1, 2 or 3","3, 4 or 5","5, 6 or 7","5, 6 or 8","5, 6 or 7","The chemical property or reaction shown identifies 5, 6 or 7.",Science,Z1XYW/2
The total number of electrons shared in the formation of an ethyne molecule is,6,3,10,4,10,The scientific principle described in “The total number of electrons shared in” supports 10.,Science,Z1XYW/2
"When zinc reacts with sodium hydroxide, the product formed is",Sodium oxide,Sodium zincate,Zinc hydroxide,Zinc oxide + Solution,Sodium zincate,The chemical property or reaction shown identifies Sodium zincate.,Science,Z1XYW/2
Which of the following is an example of endothermic process?,Formation of slaked lime,Decomposition of vegetable matter into compost,Dissolution of ammonium chloride in water,Digestion of food in our body,Dissolution of ammonium chloride in water,The scientific principle described in “Which of the following is an example” supports Dissolution of ammonium chloride in water.,Science,Z1XYW/2
"we show the arrangement of different circuit components. We find that with respect to the resistor, the",ammeter is connected in parallel and the voltmeter in series.,ammeter is connected in series and the voltmeter in parallel.,ammeter and voltmeter are both connected in series.,ammeter and voltmeter are both connected in parallel.,ammeter is connected in series and the voltmeter in parallel.,The stated electricity or magnetism rule gives ammeter is connected in series and the voltmeter in parallel..,Science,Z1XYW/2
"A metal ribbon ‘X’ burns in oxygen with a dazzling white flame forming a white ash ‘Y’. The correct description of X, Y and the type of reaction is:",X = Ca ; Y = CaO ; Type of reaction = Decomposi tion,X = Mg ; Y = MgO ; Type of reaction = Combinati on,X = Al ; Y = Al 2O3 ; Type of reaction = Thermal decomposition,X = Zn ; Y = ZnO ; Type of reaction = Endotherm ic,X = Mg ; Y = MgO ; Type of reaction = Combinati on,The chemical property or reaction shown identifies X = Mg ; Y = MgO ; Type of reaction = Combinati on.,Science,Z1XYW/4
Acid present in tomato is:,Methanoic acid,Acetic acid,Lactic acid,Oxalic acid,Oxalic acid,The chemical property or reaction shown identifies Oxalic acid.,Science,Z1XYW/4
In plants the role of cytokinin is:,Promote cell division.,Wilting of leaves.,Promote the opening of stomatal pore.,Help in the growth of stem.,Promote cell division.,The described biological process supports Promote cell division..,Science,Z1XYW/4
Opening and closing of stomata is due to:,High pressure of gases inside the cells.,Movement of water in and out of the guard cells .,Stimulus of light in the guard cells.,Diffusion of CO 2 in and out of the guard cells.,Movement of water in and out of the guard cells .,The described biological process supports Movement of water in and out of the guard cells ..,Science,Z1XYW/4
Sodium hydroxide is termed an alkali while Ferric hydroxide is not because:,"Sodium hydroxide is a strong base, while Ferric hydroxide is a weak base.",Sodium hydroxide is a base which is soluble in water while Ferric hydroxide is also a base but it is not soluble in water.,Sodium hydroxide is a strong base while Ferric hydroxide is a strong acid.,Sodium hydroxide and Ferric hydroxide both are strong base but the solubility of Sodium hydroxide in water is comparat ively higher than that of Ferric hydroxide.,Sodium hydroxide is a base which is soluble in water while Ferric hydroxide is also a base but it is not soluble in water.,The chemical property or reaction shown identifies Sodium hydroxide is a base which is soluble in water while Ferric hydroxide is also a base but it is not soluble in water..,Science,Z1XYW/4
The name of the salt used to remove permanent hard ness of water is:,Sodium hydrogen carbonate (NaHCO,Sodium chloride (NaCl),Sodium carbonate decahydrate (Na 2CO 3.10H 2O),Calcium sulphate hemihydrate (CaSO,Sodium carbonate decahydrate (Na 2CO 3.10H 2O),The scientific principle described in “The name of the salt used to” supports Sodium carbonate decahydrate (Na 2CO 3.10H 2O).,Science,Z1XYW/4
The number of chromosomes in parents and offspring s of a particular species undergoing sexual reproduction remain constant due to:,doubling of chromosomes after zygote formation.,halving of chromosomes after zygote formation.,doubling of chromosomes before gamete formation .,halving of chromosomes at the time of gamete fo rmation.,halving of chromosomes at the time of gamete fo rmation.,The described biological process supports halving of chromosomes at the time of gamete fo rmation..,Science,Z1XYW/4
"The resistance of a resistor is reduced to half of its initial value. If other parameters of the electrical circuit remain unalter ed, the amount of heat produced in the resistor will become:",four times,two times,half,one fourth,two times,The stated electricity or magnetism rule gives two times.,Science,Z1XYW/4
Two LED bulbs of 12W and 6W are connected in serie s. If the current through 12W bulb is 0.06A the current through 6W bulb will be:,0.04A,0.06A,0.08A,0.12A,0.06A,The stated electricity or magnetism rule gives 0.06A.,Science,Z1XYW/4
"When aqueous solutions of potassium iodide and lea d nitrate are mixed, an insoluble substance separates out. The chemical equ ation for the reaction involved is:",KI + PbNO 3 PbI + KNO 3,2KI + Pb(NO 3)2 PbI 2 + 2KNO 3,KI + Pb(NO 3)2 PbI + KNO 3,KI + PbNO 3 PbI 2 + KNO 3,2KI + Pb(NO 3)2 PbI 2 + 2KNO 3,The chemical property or reaction shown identifies 2KI + Pb(NO 3)2 PbI 2 + 2KNO 3.,Science,Z1XYW/4
"When Sodium bicarbonate reacts with dilute hydroch loric acid, the gas evolved is:",Hydrogen; it gives pop sound with burning match stick.,Hydrogen; it turns lime water milky.,Carbon dioxide; it turns lime water milky.,Carbon dioxide; it blows off a burning match st ick with a pop sound.,Carbon dioxide; it turns lime water milky.,The chemical property or reaction shown identifies Carbon dioxide; it turns lime water milky..,Science,Z1XYW/4
The bacterial and the viral infections that may be caused due to unsafe sex respectively are,Warts and HIV-AIDS,HIV-AIDS and Warts,Gonorrhoea and Syphilis,Syphilis and Warts,Syphilis and Warts,The scientific principle described in “The bacterial and the viral infections that” supports Syphilis and Warts.,Science,Z1XYW/5
A constant current flows in a horizontal wire in the plane of the paper from east to west as shown in the figure. The direction of the magnetic field will be north to south at a point,directly above the wire.,directly below the wire.,located in the plane of the paper on the north side of the wire.,located in the plane of the paper on the south side of the wire.,directly below the wire.,The stated electricity or magnetism rule gives directly below the wire..,Science,Z1XYW/5
"As compared to terrestrial organisms, the rate of breathing in aquatic organisms is",faster because they need more oxygen for their survival.,faster because the amount of dissolved oxygen in water is fairly low.,slower because the amount of dissolved oxygen in water is fairly low.,slower because the capacity of water of dissolving atmospheric air is limited.,faster because the amount of dissolved oxygen in water is fairly low.,The scientific principle described in “As compared to terrestrial organisms the rate” supports faster because the amount of dissolved oxygen in water is fairly low..,Science,Z1XYW/5
Consider the following two statements : (i) The trait that expresses itself in F1 generation. (ii) The trait that keeps on passing from one generation to another. The appropriate terms for the statements (i) and (ii) respectively are,"Recessive trait, Dominant trait","Dominant trait, Recessive trait","Dominant trait, Inherited trait","Recessive trait, Inherited trait","Dominant trait, Inherited trait","The scientific principle described in “Consider the following two statements i The” supports Dominant trait, Inherited trait.",Science,Z1XYW/5
Hydronium ions are formed by the reaction between,Sodium hydroxide and water,Calcium chloride and water,Hydrogen chloride gas and water,Ethanol and water,Hydrogen chloride gas and water,The chemical property or reaction shown identifies Hydrogen chloride gas and water.,Science,Z1XYW/5
Select a pair of olfactory indicators from the following,Clove oil and vanilla essence,Onion and turmeric,Clove oil and litmus solution,Vanilla and methyl orange,Clove oil and vanilla essence,The scientific principle described in “Select a pair of olfactory indicators from” supports Clove oil and vanilla essence.,Science,Z1XYW/5
Study the following chemical reaction : 2 Na (s) + 2 H2O (l) 2 NaOH (aq) + H2 (g) The reducing agent in this reaction is,Na,H2O,NaOH,H2,Na,The chemical property or reaction shown identifies Na.,Science,Z1XYW/5
The balanced chemical equation showing reaction between quicklime and water is,2 CaO + H2O 2 CaOH + H2 + Heat,CaO + H2O Ca(OH)2 + H2 + Heat,CaO + H2O Ca(OH)2 + Heat,2 CaO + 3 H2O 2 Ca(OH)3 + O2 + Heat,CaO + H2O Ca(OH)2 + Heat,The chemical property or reaction shown identifies CaO + H2O Ca(OH)2 + Heat.,Science,Z1XYW/5
"The expressions that relate (i) Q, I and t and (ii) Q, V and W respectively are (Here the symbols have their usual meanings)",(i) I = tQ (ii) W = QV,(i) Q = I t (ii) W = V Q,(i) Q = tI (ii) V = QW,(i) I = tQ (ii) Q = WV,(i) Q = I t (ii) W = V Q,The scientific principle described in “The expressions that relate i Q I” supports (i) Q = I t (ii) W = V Q.,Science,Z1XYW/5
The part in which gustatory receptors are present in our body is,inner ear,skin,tongue,inner lining of nose,tongue,The scientific principle described in “The part in which gustatory receptors are” supports tongue.,Science,Z1XYW/5
"The process in which loss of water in the form of vapours from the aerial parts of plants takes place is X, which helps in Y. Here X and Y respectively are",transpiration and photosynthesis.,transpiration and temperature regulation.,translocation and movement of soluble products of photosynthesis in phloem.,translocation and absorption of water and minerals from soil by roots.,transpiration and temperature regulation.,The described biological process supports transpiration and temperature regulation..,Science,Z1XYW/5
"To delay its curdling, a chemical substance is added to it, which is",Sodium carbonate,Baking powder,Sodium hydroxide (Caustic soda),Baking soda (Sodium hydrogen carbonate),Sodium hydroxide (Caustic soda),The scientific principle described in “To delay its curdling a chemical substance” supports Sodium hydroxide (Caustic soda).,Science,Z1XYW/5
Which of the following statements is true for an amphoteric oxide?,It reacts only with acid and does not form water.,It reacts with acid as well as base to form salt and hydrogen gas.,It reacts with both acid as well as base to form salt and water.,It reacts only with base and does not form water.,It reacts with both acid as well as base to form salt and water.,The chemical property or reaction shown identifies It reacts with both acid as well as base to form salt and water..,Science,Z1XYW/5
2 g of yellow sulphur powder is burnt in a china dish and the fumes are collected in a test tube. Water is added in the test tube and the solution is tested separately with blue and red litmus paper. The correct option is,Blue litmus remains blue and red litmus turns blue.,Blue litmus turns red and red litmus remains red.,Blue litmus turns red and red litmus turns blue.,Blue litmus remains blue and red litmus remains red.,Blue litmus turns red and red litmus turns blue.,The chemical property or reaction shown identifies Blue litmus turns red and red litmus turns blue..,Science,Z1XYW/C
A material used for making heating elements of electrical heating devices should have,High resistivity and high melting point.,High resistivity and low melting point.,Low resistivity and high melting point.,Low resistivity and low melting point.,Low resistivity and high melting point.,The scientific principle described in “A material used for making heating elements” supports Low resistivity and high melting point..,Science,Z1XYW/C
"As compared to daytime, the amount of carbon dioxide released by the plants during night is more because",It is not produced during daytime.,It is stored in the leaves of plants during daytime.,Major amount of carbon dioxide produced is used up for photosynthesis during daytime.,Plants do not respire during daytime.,Plants do not respire during daytime.,The described biological process supports Plants do not respire during daytime..,Science,Z1XYW/C
"Consider the following substances : (i) Acidified K2Cr2O7 (ii) Alkaline KMnO4 (iii) Oxygen (iv) Hydrogen Out of these, the commonly used oxidising agents are",(i) and (ii) only,(ii) and (iii) only,"(i), (ii) and (iii)",(i),"(i), (ii) and (iii)","The chemical property or reaction shown identifies (i), (ii) and (iii).",Science,Z1XYW/C
"In the electrolysis of water, if the mass of the gas collected at the anode is ma and the mass of the gas collected at the cathode is mc, the value of (mc/ma) is",8,16,161,81,8,The scientific principle described in “In the electrolysis of water if the” supports 8.,Science,Z1XYW/C
Select from the following compounds which is not a base,Sodium hydroxide,Calcium hydroxide,Sodium sulphate,Zinc oxide,Calcium hydroxide,The chemical property or reaction shown identifies Calcium hydroxide.,Science,Z1XYW/C
The organism in which an outgrowth on the parent body develops into a new individual is,Amoeba,Paramecium,Rhizopus,Yeast,Rhizopus,The scientific principle described in “The organism in which an outgrowth on” supports Rhizopus.,Science,Z1XYW/C
The resistance of a wire does not depend on its,Length,Area of cross-section,Shape,Material,Area of cross-section,The stated electricity or magnetism rule gives Area of cross-section.,Science,Z1XYW/C
"The shape of magnetic field lines produced (i) inside a solenoid (ii) around a straight conductor, both carrying current of the same magnitude are, respectively","(i) straight, (ii) circular","(i) circular, (ii) circular","(i) straight, (ii) straight","(i) circular, (ii) straight","(i) straight, (ii) circular","The stated electricity or magnetism rule gives (i) straight, (ii) circular.",Science,Z1XYW/C
When a narrow beam of white light passes through a glass prism it splits into its component colours ? This phenomenon is called,Diffusion of light,Total reflection of light,Scattering of light,Dispersion of light,Dispersion of light,The applicable optics principle identifies Dispersion of light.,Science,Z1XYW/C
"When an object is placed beyond 2F of a convex lens, the nature of the image formed is","Real, inverted and diminished","Real, erect and magnified","Virtual, erect and magnified","Real, inverted and magnified","Real, erect and magnified","The applicable optics principle identifies Real, erect and magnified.",Science,Z1XYW/C
Which one of the following metals is malleable and a poor conductor of electricity?,Copper,Zinc,Lead,Silver,Silver,The chemical property or reaction shown identifies Silver.,Science,Z1XYW/C
Which one of the following molecules is produced initially when glucose breaks down in the cytoplasm of a cell in aerobic as well as anaerobic respiration?,Lactic acid,Ethanol,Carbon dioxide,Pyruvate,Carbon dioxide,The scientific principle described in “Which one of the following molecules is” supports Carbon dioxide.,Science,Z1XYW/C
Which one of the following properties of Carbon is not responsible for its formation of large number of compounds?,Tetravalency,Isomerism,Allotropy,Catenation,Isomerism,The scientific principle described in “Which one of the following properties of” supports Isomerism.,Science,Z1XYW/C
You want to test for hardness of water but hard water is not available in the laboratory. Which of the following compounds may be dissolved in pure water to make it hard ? (i) Hydrogen Carbonate of Sodium (ii) Sulphate of Magnesium (iii) Chloride of Calcium (iv) Carbonate of Sodium,(i) and (ii),(ii) and (iii),(iii) and (iv),(i) and (iv),(iii) and (iv),The chemical property or reaction shown identifies (iii) and (iv).,Science,Z1XYW/C
